full_webcnp_(January_2020),Definition,Test,Field Type,Notes
CPF_A.CPF_TRIAL000033_TTR,Time to respond (ms) for Trial 33,CPF,integer,Number-variant | Null
CPF_A.CPF_TRIAL000033_TRIAL,Trial Order Presented,CPF,integer,0-40
CPF_A.CPF_TRIAL000033_QID,Question ID for Trial 33,CPF,integer,0-40
CPF_A.CPF_TRIAL000033_CORR,"Response correct for Trial 33 (1=yes, 0=no)",CPF,integer,0-1
CPF_A.CPF_TRIAL000034_RESP,Response for Trial 34,CPF,integer,1 | 2 | 3 | 4 | Null
CPF_A.CPF_TRIAL000034_TTR,Time to respond (ms) for Trial 34,CPF,integer,Number-variant | Null
CPF_A.CPF_TRIAL000034_TRIAL,Trial Order Presented,CPF,integer,0-40
CPF_A.CPF_TRIAL000034_QID,Question ID for Trial 34,CPF,integer,0-40
CPF_A.CPF_TRIAL000034_CORR,"Response correct for Trial 34 (1=yes, 0=no)",CPF,integer,0-1
CPF_A.CPF_TRIAL000035_RESP,Response for Trial 35,CPF,integer,1 | 2 | 3 | 4 | Null
CPF_A.CPF_TRIAL000035_TTR,Time to respond (ms) for Trial 35,CPF,integer,Number-variant | Null
CPF_A.CPF_TRIAL000035_TRIAL,Trial Order Presented,CPF,integer,0-40
CPF_A.CPF_TRIAL000035_QID,Question ID for Trial 35,CPF,integer,0-40
CPF_A.CPF_TRIAL000035_CORR,"Response correct for Trial 35 (1=yes, 0=no)",CPF,integer,0-1
CPF_A.CPF_TRIAL000036_RESP,Response for Trial 36,CPF,integer,1 | 2 | 3 | 4 | Null
CPF_A.CPF_TRIAL000036_TTR,Time to respond (ms) for Trial 36,CPF,integer,Number-variant | Null
CPF_A.CPF_TRIAL000036_TRIAL,Trial Order Presented,CPF,integer,0-40
CPF_A.CPF_TRIAL000036_QID,Question ID for Trial 36,CPF,integer,0-40
CPF_A.CPF_TRIAL000036_CORR,"Response correct for Trial 36 (1=yes, 0=no)",CPF,integer,0-1
CPF_A.CPF_TRIAL000037_RESP,Response for Trial 37,CPF,integer,1 | 2 | 3 | 4 | Null
CPF_A.CPF_TRIAL000037_TTR,Time to respond (ms) for Trial 37,CPF,integer,Number-variant | Null
CPF_A.CPF_TRIAL000037_TRIAL,Trial Order Presented,CPF,integer,0-40
CPF_A.CPF_TRIAL000037_QID,Question ID for Trial 37,CPF,integer,0-40
CPF_A.CPF_TRIAL000037_CORR,"Response correct for Trial 37 (1=yes, 0=no)",CPF,integer,0-1
CPF_A.CPF_TRIAL000038_RESP,Response for Trial 38,CPF,integer,1 | 2 | 3 | 4 | Null
CPF_A.CPF_TRIAL000038_TTR,Time to respond (ms) for Trial 38,CPF,integer,Number-variant | Null
CPF_A.CPF_TRIAL000038_TRIAL,Trial Order Presented,CPF,integer,0-40
CPF_A.CPF_TRIAL000038_QID,Question ID for Trial 38,CPF,integer,0-40
CPF_A.CPF_TRIAL000038_CORR,"Response correct for Trial 38 (1=yes, 0=no)",CPF,integer,0-1
CPF_A.CPF_TRIAL000039_RESP,Response for Trial 39,CPF,integer,1 | 2 | 3 | 4 | Null
CPF_A.CPF_TRIAL000039_TTR,Time to respond (ms) for Trial 39,CPF,integer,Number-variant | Null
CPF_A.CPF_TRIAL000039_TRIAL,Trial Order Presented,CPF,integer,0-40
CPF_A.CPF_TRIAL000039_QID,Question ID for Trial 39,CPF,integer,0-40
CPF_A.CPF_TRIAL000039_CORR,"Response correct for Trial 39 (1=yes, 0=no)",CPF,integer,0-1
CPF_A.CPF_TRIAL000040_RESP,Response for Trial 40,CPF,integer,1 | 2 | 3 | 4 | Null
CPF_A.CPF_TRIAL000040_TTR,Time to respond (ms) for Trial 40,CPF,integer,Number-variant | Null
CPF_A.CPF_TRIAL000040_TRIAL,Trial Order Presented,CPF,integer,0-40
CPF_A.CPF_TRIAL000040_QID,Question ID for Trial 40,CPF,integer,0-40
CPF_A.CPF_TRIAL000040_CORR,"Response correct for Trial 40 (1=yes, 0=no)",CPF,integer,0-1
CPW_A.CPW_TRIAL000001_RESP,Response for Trial 1,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000001_TTR,Time to respond (ms) for Trial 1,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000001_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000001_QID,Question ID for Trial 1,CPW,integer,0-40
CPW_A.CPW_TRIAL000001_CORR,"Response Correct (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000002_RESP,Response for Trial 2,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000002_TTR,Time to respond (ms) for Trial 2,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000002_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000002_QID,Question ID for Trial 2,CPW,integer,0-40
CPW_A.CPW_TRIAL000002_CORR,"Response correct for Trial 2 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000003_RESP,Response for Trial 3,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000003_TTR,Time to respond (ms) for Trial 3,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000003_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000003_QID,Question ID for Trial 3,CPW,integer,0-40
CPW_A.CPW_TRIAL000003_CORR,"Response correct for Trial 3 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000004_RESP,Response for Trial 4,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000004_TTR,Time to respond (ms) for Trial 4,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000004_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000004_QID,Response for Trial 4,CPW,integer,0-40
CPW_A.CPW_TRIAL000004_CORR,Question ID for Trial 4,CPW,integer,0-1
CPW_A.CPW_TRIAL000005_RESP,Response for Trial 5,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000005_TTR,Time to respond (ms) for Trial 5,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000005_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000005_QID,Question ID for Trial 5,CPW,integer,0-40
CPW_A.CPW_TRIAL000005_CORR,"Response Correct (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000006_RESP,Response for Trial 6,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000006_TTR,Time to respond (ms) for Trial 6,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000006_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000006_QID,Question ID for Trial 6,CPW,integer,0-40
CPW_A.CPW_TRIAL000006_CORR,"Response correct for Trial 6 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000007_RESP,Response for Trial 7,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000007_TTR,Time to respond (ms) for Trial 7,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000007_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000007_QID,Question ID for Trial 7,CPW,integer,0-40
CPW_A.CPW_TRIAL000007_CORR,"Response correct for Trial 7 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000008_RESP,Response for Trial 8,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000008_TTR,Time to respond (ms) for Trial 8,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000008_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000008_QID,Question ID for Trial 8,CPW,integer,0-40
CPW_A.CPW_TRIAL000008_CORR,"Response correct for Trial 8 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000009_RESP,Response for Trial 8,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000009_TTR,Time to respond (ms) for Trial 9,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000009_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000009_QID,Question ID for Trial 9,CPW,integer,0-40
CPW_A.CPW_TRIAL000009_CORR,"Response correct for Trial 9 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000010_RESP,Response for Trial 10,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000010_TTR,Time to respond (ms) for Trial 10,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000010_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000010_QID,Question ID for Trial 10,CPW,integer,0-40
CPW_A.CPW_TRIAL000010_CORR,"Response correct for Trial 10 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000011_RESP,Response for Trial 11,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000011_TTR,Time to respond (ms) for Trial 11,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000011_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000011_QID,Question ID for Trial 11,CPW,integer,0-40
CPW_A.CPW_TRIAL000011_CORR,"Response correct for Trial 11 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000012_RESP,Response for Trial 12,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000012_TTR,Time to respond (ms) for Trial 12,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000012_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000012_QID,Question ID for Trial 12,CPW,integer,0-40
CPW_A.CPW_TRIAL000012_CORR,"Response correct for Trial 12 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000013_RESP,Response for Trial 13,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000013_TTR,Time to respond (ms) for Trial 13,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000013_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000013_QID,Question ID for Trial 13,CPW,integer,0-40
CPW_A.CPW_TRIAL000013_CORR,"Response correct for Trial 13 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000014_RESP,Response for Trial 14,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000014_TTR,Time to respond (ms) for Trial 14,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000014_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000014_QID,Question ID for Trial 14,CPW,integer,0-40
CPW_A.CPW_TRIAL000014_CORR,"Response correct for Trial 14 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000015_RESP,Response for Trial 15,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000015_TTR,Time to respond (ms) for Trial 15,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000015_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000015_QID,Question ID for Trial 15,CPW,integer,0-40
CPW_A.CPW_TRIAL000015_CORR,"Response correct for Trial 15 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000016_RESP,Response for Trial 16,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000016_TTR,Time to respond (ms) for Trial 16,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000016_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000016_QID,Question ID for Trial 16,CPW,integer,0-40
CPW_A.CPW_TRIAL000016_CORR,"Response correct for Trial 16 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000017_RESP,Response for Trial 17,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000017_TTR,Time to respond (ms) for Trial 17,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000017_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000017_QID,Question ID for Trial 17,CPW,integer,0-40
CPW_A.CPW_TRIAL000017_CORR,"Response correct for Trial 17 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000018_RESP,Response for Trial 18,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000018_TTR,Time to respond (ms) for Trial 18,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000018_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000018_QID,Question ID for Trial 18,CPW,integer,0-40
CPW_A.CPW_TRIAL000018_CORR,"Response correct for Trial 18 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000019_RESP,Response for Trial 19,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000019_TTR,Time to respond (ms) for Trial 19,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000019_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000019_QID,Question ID for Trial 19,CPW,integer,0-40
CPW_A.CPW_TRIAL000019_CORR,"Response correct for Trial 19 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000020_RESP,Response for Trial 20,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000020_TTR,Time to respond (ms) for Trial 20,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000020_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000020_QID,Question ID for Trial 20,CPW,integer,0-40
CPW_A.CPW_TRIAL000020_CORR,"Response correct for Trial 20 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000021_RESP,Response for Trial 21,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000021_TTR,Time to respond (ms) for Trial 21,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000021_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000021_QID,Question ID for Trial 21,CPW,integer,0-40
CPW_A.CPW_TRIAL000021_CORR,"Response correct for Trial 21 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000022_RESP,Response for Trial 22,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000022_TTR,Time to respond (ms) for Trial 22,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000022_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000022_QID,Question ID for Trial 22,CPW,integer,0-40
CPW_A.CPW_TRIAL000022_CORR,"Response correct for Trial 22 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000023_RESP,Response for Trial 23,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000023_TTR,Time to respond (ms) for Trial 23,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000023_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000023_QID,Question ID for Trial 23,CPW,integer,0-40
CPW_A.CPW_TRIAL000023_CORR,"Response correct for Trial 23 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000024_RESP,Response for Trial 24,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000024_TTR,Time to respond (ms) for Trial 24,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000024_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000024_QID,Question ID for Trial 24,CPW,integer,0-40
CPW_A.CPW_TRIAL000024_CORR,"Response correct for Trial 24 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000025_RESP,Response for Trial 25,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000025_TTR,Time to respond (ms) for Trial 25,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000025_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000025_QID,Question ID for Trial 25,CPW,integer,0-40
CPW_A.CPW_TRIAL000025_CORR,"Response correct for Trial 25 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000026_RESP,Response for Trial 26,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000026_TTR,Time to respond (ms) for Trial 26,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000026_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000026_QID,Question ID for Trial 26,CPW,integer,0-40
CPW_A.CPW_TRIAL000026_CORR,"Response correct for Trial 26 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000027_RESP,Response for Trial 27,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000027_TTR,Time to respond (ms) for Trial 27,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000027_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000027_QID,Question ID for Trial 27,CPW,integer,0-40
CPW_A.CPW_TRIAL000027_CORR,"Response correct for Trial 27 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000028_RESP,Response for Trial 28,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000028_TTR,Time to respond (ms) for Trial 28,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000028_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000028_QID,Question ID for Trial 28,CPW,integer,0-40
CPW_A.CPW_TRIAL000028_CORR,"Response correct for Trial 28 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000029_RESP,Response for Trial 29,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000029_TTR,Time to respond (ms) for Trial 29,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000029_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000029_QID,Question ID for Trial 29,CPW,integer,0-40
CPW_A.CPW_TRIAL000029_CORR,"Response correct for Trial 29 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000030_RESP,Response for Trial 30,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000030_TTR,Time to respond (ms) for Trial 30,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000030_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000030_QID,Question ID for Trial 30,CPW,integer,0-40
CPW_A.CPW_TRIAL000030_CORR,"Response correct for Trial 30 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000031_RESP,Response for Trial 31,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000031_TTR,Time to respond (ms) for Trial 31,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000031_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000031_QID,Question ID for Trial 31,CPW,integer,0-40
CPW_A.CPW_TRIAL000031_CORR,"Response correct for Trial 31 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000032_RESP,Response for Trial 32,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000032_TTR,Time to respond (ms) for Trial 32,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000032_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000032_QID,Question ID for Trial 32,CPW,integer,0-40
CPW_A.CPW_TRIAL000032_CORR,"Response correct for Trial 32 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000033_RESP,Response for Trial 33,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000033_TTR,Time to respond (ms) for Trial 33,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000033_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000033_QID,Question ID for Trial 33,CPW,integer,0-40
CPW_A.CPW_TRIAL000033_CORR,"Response correct for Trial 33 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000034_RESP,Response for Trial 34,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000034_TTR,Time to respond (ms) for Trial 34,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000034_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000034_QID,Question ID for Trial 34,CPW,integer,0-40
CPW_A.CPW_TRIAL000034_CORR,"Response correct for Trial 34 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000035_RESP,Response for Trial 35,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000035_TTR,Time to respond (ms) for Trial 35,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000035_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000035_QID,Question ID for Trial 35,CPW,integer,0-40
CPW_A.CPW_TRIAL000035_CORR,"Response correct for Trial 35 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000036_RESP,Response for Trial 36,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000036_TTR,Time to respond (ms) for Trial 36,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000036_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000036_QID,Question ID for Trial 36,CPW,integer,0-40
CPW_A.CPW_TRIAL000036_CORR,"Response correct for Trial 36 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000037_RESP,Response for Trial 37,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000037_TTR,Time to respond (ms) for Trial 37,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000037_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000037_QID,Question ID for Trial 37,CPW,integer,0-40
CPW_A.CPW_TRIAL000037_CORR,"Response correct for Trial 37 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000038_RESP,Response for Trial 38,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000038_TTR,Time to respond (ms) for Trial 38,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000038_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000038_QID,Question ID for Trial 38,CPW,integer,0-40
CPW_A.CPW_TRIAL000038_CORR,"Response correct for Trial 38 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000039_RESP,Response for Trial 39,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000039_TTR,Time to respond (ms) for Trial 39,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000039_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000039_QID,Question ID for Trial 39,CPW,integer,0-40
CPW_A.CPW_TRIAL000039_CORR,"Response correct for Trial 39 (1=yes, 0=no)",CPW,integer,0-1
CPW_A.CPW_TRIAL000040_RESP,Response for Trial 40,CPW,integer,1 | 2 | 3 | 4 | Null
CPW_A.CPW_TRIAL000040_TTR,Time to respond (ms) for Trial 40,CPW,integer,Number-variant | Null
CPW_A.CPW_TRIAL000040_TRIAL,Trial Order Presented,CPW,integer,0-40
CPW_A.CPW_TRIAL000040_QID,Question ID for Trial 40,CPW,integer,0-40
CPW_A.CPW_TRIAL000040_CORR,"Response correct for Trial 40 (1=yes, 0=no)",CPW,integer,0-1
SLNB2_90.SLNB2_QID000001_RESP,Trial Reponse,SLNB2,integer,0 | 1 | Null
SLNB2_90.SLNB2_QID000001_TTR,Trial Reponse Time (ms),SLNB2,integer/null,Number-variant | Null
SLNB2_90.SLNB2_QID000001_TRIAL,Trial Position/Order of Question ID,SLNB2,integer,0-90 | Null
SLNB2_90.SLNB2_QID000001_QID,Trial Question ID,SLNB2,integer,0-90 | Null
SLNB2_90.SLNB2_QID000001_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB2,integer,0 | 1 | Null
SLNB2_90.SLNB2_QID000002_RESP,Trial Reponse,SLNB2,integer,0 | 1 | Null
SLNB2_90.SLNB2_QID000002_TTR,Trial Reponse Time (ms),SLNB2,integer/null,Number-variant | Null
SLNB2_90.SLNB2_QID000002_TRIAL,Trial Position/Order of Question ID,SLNB2,integer,0-90 | Null
SLNB2_90.SLNB2_QID000002_QID,Trial Question ID,SLNB2,integer,0-90 | Null
SLNB2_90.SLNB2_QID000002_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB2,integer,0 | 1 | Null
SLNB2_90.SLNB2_QID000003_RESP,Trial Reponse,SLNB2,integer,0 | 1 | Null
SLNB2_90.SLNB2_QID000003_TTR,Trial Reponse Time (ms),SLNB2,integer/null,Number-variant | Null
SLNB2_90.SLNB2_QID000003_TRIAL,Trial Position/Order of Question ID,SLNB2,integer,0-90 | Null
SLNB2_90.SLNB2_QID000003_QID,Trial Question ID,SLNB2,integer,0-90 | Null
SLNB2_90.SLNB2_QID000003_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB2,integer,0 | 1 | Null
SLNB2_90.SLNB2_QID000004_RESP,Trial Reponse,SLNB2,integer,0 | 1 | Null
SLNB2_90.SLNB2_QID000004_TTR,Trial Reponse Time (ms),SLNB2,integer/null,Number-variant | Null
SLNB2_90.SLNB2_QID000004_TRIAL,Trial Position/Order of Question ID,SLNB2,integer,0-90 | Null
SLNB2_90.SLNB2_QID000004_QID,Trial Question ID,SLNB2,integer,0-90 | Null
SLNB2_90.SLNB2_QID000004_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB2,integer,0 | 1 | Null
SLNB2_90.SLNB2_QID000005_RESP,Trial Reponse,SLNB2,integer,0 | 1 | Null
SLNB2_90.SLNB2_QID000005_TTR,Trial Reponse Time (ms),SLNB2,integer/null,Number-variant | Null
SLNB2_90.SLNB2_QID000005_TRIAL,Trial Position/Order of Question ID,SLNB2,integer,0-90 | Null
SLNB2_90.SLNB2_QID000005_QID,Trial Question ID,SLNB2,integer,0-90 | Null
SLNB2_90.SLNB2_QID000005_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB2,integer,0 | 1 | Null
SLNB2_90.SLNB2_QID000006_RESP,Trial Reponse,SLNB2,integer,0 | 1 | Null
SLNB2_90.SLNB2_QID000006_TTR,Trial Reponse Time (ms),SLNB2,integer/null,Number-variant | Null
SLNB2_90.SLNB2_QID000006_TRIAL,Trial Position/Order of Question ID,SLNB2,integer,0-90 | Null
SLNB2_90.SLNB2_QID000006_QID,Trial Question ID,SLNB2,integer,0-90 | Null
SLNB2_90.SLNB2_QID000006_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB2,integer,0 | 1 | Null
SLNB2_90.SLNB2_QID000007_RESP,Trial Reponse,SLNB2,integer,0 | 1 | Null
SLNB2_90.SLNB2_QID000007_TTR,Trial Reponse Time (ms),SLNB2,integer/null,Number-variant | Null
SLNB2_90.SLNB2_QID000007_TRIAL,Trial Position/Order of Question ID,SLNB2,integer,0-90 | Null
SLNB2_90.SLNB2_QID000007_QID,Trial Question ID,SLNB2,integer,0-90 | Null
